682229,PDT001104571.1,2021-08-08T05:31:34Z,SAMN20606669,GCA_019468785.1
1276808,PDT001100521.1,2021-08-02T14:46:04Z,SAMN20490398,GCA_019439885.1
1276781,PDT001105121.1,2021-08-09T02:29:18Z,SAMN20490248,GCA_019461775.1
815501,PDT000601947.2,2019-10-07T11:12:27Z,SAMN12924233,GCA_011849945.1
810197,PDT001103800.1,2021-08-07T19:29:40Z,SAMN20603084,GCA_019481425.1
1242935,PDT001081462.1,2021-07-04T04:32:44Z,SAMN20054829,GCA_019107305.1
598098,PDT001107053.1,2021-08-11T05:22:24Z,SAMN20698548,GCA_019552805.1
1264133,PDT001091570.1,2021-07-19T05:27:54Z,SAMN20296295,GCA_019267815.1
1308030,PDT001106295.1,2021-08-10T06:32:48Z,SAMN20678792,GCA_019502605.1
524809,PDT001107129.1,2021-08-11T05:22:45Z,SAMN20698631,GCA_019548335.1
1280332,PDT001105136.1,2021-08-09T02:29:22Z,SAMN20490089,GCA_019461675.1
1308047,PDT001106547.1,2021-08-10T12:35:17Z,SAMN20678773,GCA_019522005.1
493472,PDT000317146.1,2018-05-21T22:31:14Z,SAMN09228483,GCA_014426325.1
495796,PDT001107116.1,2021-08-11T05:22:42Z,SAMN20698531,GCA_019552025.1
578062,PDT000377996.1,2018-09-16T08:06:14Z,SAMN10068476,GCA_012099395.1
579240,PDT001107107.1,2021-08-11T05:22:39Z,SAMN20698536,GCA_019548415.1
599543,PDT001107018.1,2021-08-11T05:22:15Z,SAMN20698343,GCA_019550505.1
596216,PDT001107155.1,2021-08-11T05:22:52Z,SAMN20698664,GCA_019548185.1
608471,PDT000384336.1,2018-09-25T08:18:30Z,SAMN10118241,GCA_004271705.1
611458,PDT001106549.1,2021-08-10T12:35:17Z,SAMN20678776,GCA_019518125.1
598094,PDT000376243.1,2018-09-14T06:17:27Z,SAMN10058022,GCA_004256165.1
593575,PDT001107125.1,2021-08-11T05:22:44Z,SAMN20698409,GCA_019551965.1
378575,PDT001108090.1,2021-08-12T05:32:11Z,SAMN20713003,GCA_019575615.1
353838,PDT001108203.1,2021-08-12T05:32:42Z,SAMN20713056,GCA_019573035.1
350664,PDT001108206.1,2021-08-12T05:32:43Z,SAMN20713061,GCA_019573455.1
431300,PDT000316482.2,2018-05-21T22:28:35Z,SAMN09225362,GCA_014346735.1
435475,PDT001108106.1,2021-08-12T05:32:16Z,SAMN20713077,GCA_019575295.1
343441,PDT000323653.2,2018-06-05T06:05:17Z,SAMN09345328,GCA_012235785.1
343393,PDT001108260.1,2021-08-12T05:33:00Z,SAMN20713130,GCA_019574005.1
431370,PDT001108136.1,2021-08-12T05:32:25Z,SAMN20712990,GCA_019573835.1
1437979,PDT001131256.1,2021-09-17T05:32:09Z,SAMN21462976,GCA_020020155.1
1472917,PDT001143341.1,2021-10-04T02:25:10Z,SAMN21923806,GCA_020264805.1
790553,PDT001103769.1,2021-08-07T16:33:42Z,SAMN20603033,GCA_019481905.1
1472905,PDT001144089.1,2021-10-04T05:26:15Z,SAMN21976012,GCA_020260145.1
1246044,PDT001082139.1,2021-07-06T05:30:48Z,SAMN20062879,GCA_019181785.1
1507338,PDT001161304.1,2021-10-26T05:29:45Z,SAMN22562153,GCA_020614805.1
1531820,PDT001180038.1,2021-11-21T05:31:24Z,SAMN23341717,GCA_020911025.1
1534283,PDT001184908.1,2021-11-26T06:33:06Z,SAMN23441102,GCA_020986625.1
1539331,PDT001196389.1,2021-12-05T09:31:50Z,SAMN23637425,GCA_021048995.1
1535959,PDT001185782.1,2021-11-28T05:32:02Z,SAMN23470201,GCA_020995065.1
1540574,PDT001197902.1,2021-12-07T08:37:28Z,SAMN23707715,GCA_021089565.1
1544911,PDT001208011.1,2021-12-21T08:43:43Z,SAMN24251644,GCA_021252445.1
